;;"Original dataset";;;;;;;"Augmented dataset";;;;;;
"model";"dataset";"target";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"Test set size"
;;"Pedophile";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;7
;;"Transgender-Individuals";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;8
;;"Trans-women";0,750;0,800;0,667;1,000;0,500;0,750;0,750;0,800;0,667;1,000;0,500;0,750;4
;;"Females";1,000;1,000;1,000;1,000;1,000;1,000;0,875;0,857;1,000;0,750;0,750;0,875;8
;;"Males-";0,667;0,667;0,500;1,000;0,400;0,750;0,333;0,500;0,333;1,000;0,000;0,500;3
;;"Lesbians";0,833;0,824;0,875;0,778;0,667;0,833;0,778;0,778;0,778;0,778;0,556;0,778;18
;;"S,Orientation-Other-";0,600;0,667;0,500;1,000;0,286;0,667;0,400;0,571;0,400;1,000;0,000;0,500;5
;;"Homosexual-individuals";0,571;0,667;0,600;0,750;0,087;0,542;0,571;0,571;0,667;0,500;0,160;0,583;7
"LaBSE";"country";"Poland";0,714;0,750;0,600;1,000;0,462;0,750;0,714;0,750;0,600;1,000;0,462;0,750;7
;;"Germany";0,333;0,000;0,000;0,000;-0,500;0,250;1,000;1,000;1,000;1,000;1,000;1,000;3
;;"UK";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;5
;;"Israel";0,941;0,941;0,889;1,000;0,883;0,944;1,000;1,000;1,000;1,000;1,000;1,000;17
;;"Palestine-region";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;4
;;"China";1,000;1,000;1,000;1,000;1,000;1,000;0,500;0,667;0,500;1,000;0,000;0,500;2
;;"Russia";0,927;0,931;0,871;1,000;0,855;0,929;0,927;0,929;0,897;0,963;0,855;0,928;55
;;"Lithuania";0,864;0,850;0,944;0,773;0,727;0,864;0,818;0,826;0,792;0,864;0,636;0,818;44
;;"Belorus";0,833;0,857;0,750;1,000;0,667;0,833;0,500;0,667;0,500;1,000;0,000;0,500;6
;;"Ukraine";0,889;0,857;1,000;0,750;0,769;0,875;1,000;1,000;1,000;1,000;1,000;1,000;9
;;"USA";0,826;0,818;0,857;0,783;0,652;0,826;0,891;0,894;0,875;0,913;0,783;0,891;46
;;"Other-Asian";0,750;0,800;0,667;1,000;0,500;0,750;0,750;0,800;0,667;1,000;0,500;0,750;4
;;"UNIVERSAL";0,667;0,750;0,600;1,000;0,333;0,667;0,500;0,667;0,500;1,000;0,000;0,500;6
